"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2002"	"2002"	12	5837	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	17	34756	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	15	34688	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	15	35090	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	11	34174	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	11	33559	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	10	31756	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	16	31704	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	13	30613	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	15	29222	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	12	28441	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"0"	"White"	"2106-3"	"2013"	"2013"	13	28295	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"< 1 year"	"0"	"White"	"2106-3"	"2011"	"2011"	11	12059	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"Black or African American"	"2054-5"	"2009"	"2009"	10	9380	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"1999"	"1999"	20	65956	30.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2000"	"2000"	15	66394	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2001"	"2001"	17	66183	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2003"	"2003"	23	63103	36.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2004"	"2004"	27	61541	43.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2005"	"2005"	14	59211	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2006"	"2006"	21	59017	35.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2007"	"2007"	26	58953	44.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2008"	"2008"	15	57878	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2009"	"2009"	24	57369	41.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"0"	"White"	"2106-3"	"2010"	"2010"	24	56921	42.2
