primary_vote_2016,dem_primary_vote_2016,rep_primary_vote_2016,state,pres_vote_2016,birth_year,income_group,pres_vote_2012,age,income
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1931,"$50,000 - $59,999",Barack Obama,85,50000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1952,"$70,000 - $79,999",Mitt Romney,64,70000
In the Democratic primary,Hillary Clinton,NA,Wisconsin,Hillary Clinton,1931,"$40,000 - $49,999",Mitt Romney,85,40000
In the Democratic primary,Someone else,NA,Oklahoma,Gary Johnson,1959,"$80,000 - $99,999",Barack Obama,57,80000
In the Republican primary,NA,Marco Rubio,Texas,Donald Trump,1952,"$100,000 - $119,999",Mitt Romney,64,100000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1939,"$30,000 - $39,999",Barack Obama,77,30000
In the Democratic primary,Bernie Sanders,NA,Kentucky,Hillary Clinton,1959,"$120,000 - $149,999",Barack Obama,57,120000
In the Republican primary,NA,Donald Trump,Wisconsin,Donald Trump,1944,Prefer not to say,Mitt Romney,72,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1969,"$120,000 - $149,999",Barack Obama,47,120000
In the Democratic primary,Bernie Sanders,NA,Vermont,Hillary Clinton,1961,"$10,000 - $19,999",Barack Obama,55,10000
In the Democratic primary,Hillary Clinton,NA,Pennsylvania,Hillary Clinton,1948,"$80,000 - $99,999",Barack Obama,68,80000
"No, not in either",NA,NA,Florida,Hillary Clinton,1951,"$120,000 - $149,999",Barack Obama,65,120000
In the Republican primary,NA,Ted Cruz,Washington,Donald Trump,1968,"$150,000 or more",Mitt Romney,48,150000
In the Democratic primary,Hillary Clinton,NA,Washington,Hillary Clinton,1963,"$80,000 - $99,999",Barack Obama,53,80000
In the Democratic primary,Hillary Clinton,NA,Nebraska,Hillary Clinton,1947,"$120,000 - $149,999",Barack Obama,69,120000
In the Democratic primary,Bernie Sanders,NA,Washington,Hillary Clinton,1956,Prefer not to say,Barack Obama,60,NA
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1960,"$40,000 - $49,999",Barack Obama,56,40000
In the Republican primary,NA,Ted Cruz,Tennessee,Donald Trump,1958,"$30,000 - $39,999",Mitt Romney,58,30000
In the Democratic primary,Bernie Sanders,NA,Massachusetts,Hillary Clinton,1942,"$100,000 - $119,999",Barack Obama,74,100000
"No, not in either",NA,NA,Nevada,Hillary Clinton,1983,"$10,000 - $19,999",Barack Obama,33,10000
In the Republican primary,NA,Ted Cruz,Pennsylvania,Donald Trump,1962,"$80,000 - $99,999",Mitt Romney,54,80000
In the Democratic primary,Hillary Clinton,NA,Maryland,Hillary Clinton,1945,"$70,000 - $79,999",Barack Obama,71,70000
In the Republican primary,NA,Donald Trump,California,Donald Trump,1951,"$10,000 - $19,999",Other candidate,65,10000
"No, not in either",NA,NA,California,Other,1975,"$150,000 or more",Barack Obama,41,150000
In the Republican primary,NA,Ted Cruz,California,Donald Trump,1961,"$150,000 or more",Mitt Romney,55,150000
In the Democratic primary,Bernie Sanders,NA,California,Donald Trump,1961,"$100,000 - $119,999",Mitt Romney,55,100000
"Not sure, don't recall",NA,NA,Colorado,Gary Johnson,1953,"$120,000 - $149,999",Mitt Romney,63,120000
In the Democratic primary,Hillary Clinton,NA,Oklahoma,Hillary Clinton,1947,Prefer not to say,Barack Obama,69,NA
In the Republican primary,NA,Ted Cruz,Arizona,Donald Trump,1948,"$20,000 - $29,999",Mitt Romney,68,20000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1960,Prefer not to say,Mitt Romney,56,NA
In the Republican primary,NA,John Kasich,Arizona,Hillary Clinton,1956,"$100,000 - $119,999",Barack Obama,60,100000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1951,Prefer not to say,Mitt Romney,65,NA
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1939,"$40,000 - $49,999",Mitt Romney,77,40000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1952,"$30,000 - $39,999",Mitt Romney,64,30000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1963,"$60,000 - $69,999",Barack Obama,53,60000
In the Republican primary,NA,Marco Rubio,Arizona,Donald Trump,1962,Prefer not to say,Mitt Romney,54,NA
In the Republican primary,NA,Marco Rubio,Arizona,Donald Trump,1942,"$100,000 - $119,999",Mitt Romney,74,100000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1960,"$60,000 - $69,999",Mitt Romney,56,60000
In the Democratic primary,Bernie Sanders,NA,Arizona,Hillary Clinton,1948,"$60,000 - $69,999",Barack Obama,68,60000
In the Democratic primary,Bernie Sanders,NA,Colorado,Hillary Clinton,1957,"$10,000 - $19,999",Barack Obama,59,10000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1939,Prefer not to say,Barack Obama,77,NA
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1950,"$150,000 or more",Mitt Romney,66,150000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1952,"$70,000 - $79,999",Mitt Romney,64,70000
In the Republican primary,NA,Ted Cruz,Arkansas,Donald Trump,1968,"$120,000 - $149,999",Mitt Romney,48,120000
In the Republican primary,NA,Donald Trump,Arizona,Donald Trump,1968,"$30,000 - $39,999",Mitt Romney,48,30000
"Not sure, don't recall",NA,NA,Mississippi,Donald Trump,1972,Prefer not to say,Mitt Romney,44,NA
In the Democratic primary,Hillary Clinton,NA,New York,Hillary Clinton,1974,"$100,000 - $119,999",Barack Obama,42,100000
In the Democratic primary,Hillary Clinton,NA,Texas,Hillary Clinton,1952,"$30,000 - $39,999",Barack Obama,64,30000
In the Republican primary,NA,Ted Cruz,Illinois,Donald Trump,1925,"$20,000 - $29,999",Mitt Romney,91,20000
In the Republican primary,NA,Donald Trump,Oregon,Donald Trump,1950,"$120,000 - $149,999",Mitt Romney,66,120000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1933,Prefer not to say,Barack Obama,83,NA
In the Democratic primary,Hillary Clinton,NA,Georgia,Hillary Clinton,1958,"$80,000 - $99,999",Barack Obama,58,80000
In the Democratic primary,Hillary Clinton,NA,Arizona,Hillary Clinton,1950,"$70,000 - $79,999",Barack Obama,66,70000
In the Republican primary,NA,Donald Trump,Washington,Donald Trump,1950,"$100,000 - $119,999",Mitt Romney,66,100000
In the Republican primary,NA,Ted Cruz,Nevada,Donald Trump,1963,"$100,000 - $119,999",Mitt Romney,53,100000
In the Republican primary,NA,Someone else,Illinois,Donald Trump,1972,"$50,000 - $59,999",Mitt Romney,44,50000
In the Democratic primary,Bernie Sanders,NA,California,Hillary Clinton,1940,"$30,000 - $39,999",Barack Obama,76,30000
In the Democratic primary,Hillary Clinton,NA,California,Hillary Clinton,1958,Prefer not to say,Barack Obama,58,NA
In the Democratic primary,Don't recall,NA,Washington,Hillary Clinton,1954,"$150,000 or more",Barack Obama,62,150000
In the Democratic primary,Hillary Clinton,NA,Virginia,Hillary Clinton,1961,"$120,000 - $149,999",Barack Obama,55,120000
